person_age,person_gender,person_education,person_income,person_emp_exp,person_home_owner,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
33,male,High School,148572,13,RENT,12000,MEDICAL,11.83,0.08,7,690,no,0
23,female,Associate,47772,1,RENT,10000,PERSONAL,11.99,0.21,3,657,no,1
22,female,Associate,42454,0,RENT,3000,EDUCATION,13.71,0.07,3,570,yes,0
31,female,Bachelor,117068,12,MORTGAGE,7000,DEBTCONSOLIDATION,8,0.06,6,714,yes,0
27,male,Associate,80361,5,RENT,5000,MEDICAL,5.79,0.06,9,680,yes,0
23,male,Associate,91016,1,RENT,5000,VENTURE,11.01,0.05,3,650,yes,0
29,female,Associate,52785,8,RENT,1600,EDUCATION,13.49,0.03,10,708,no,0
34,male,Bachelor,133196,11,MORTGAGE,6000,EDUCATION,9.45,0.05,6,667,no,0
28,male,Master,39682,7,RENT,9000,PERSONAL,15.62,0.23,10,671,no,1
30,male,Master,51586,5,OWN,4000,PERSONAL,15.23,0.08,9,598,yes,0
29,male,Master,23030,6,RENT,3200,PERSONAL,10.14,0.14,7,701,no,1
22,female,Bachelor,8000,0,RENT,1800,PERSONAL,14.84,0.22,2,643,no,1
24,male,Master,70564,3,MORTGAGE,6000,HOMEIMPROVEMENT,5.42,0.09,4,635,yes,0
22,female,Bachelor,55813,0,RENT,2500,VENTURE,18.64,0.04,4,674,no,1
27,female,Doctorate,171736,3,MORTGAGE,4741,VENTURE,13.02,0.03,8,663,yes,0
26,female,Bachelor,94747,4,RENT,18000,EDUCATION,13.49,0.19,2,672,no,0
23,male,Bachelor,85131,4,MORTGAGE,6000,PERSONAL,13.16,0.07,4,660,no,0
22,male,Bachelor,73406,0,RENT,6325,DEBTCONSOLIDATION,7.51,0.09,3,642,yes,0
47,female,Associate,41671,25,MORTGAGE,7000,PERSONAL,7.49,0.17,13,620,yes,0
28,male,High School,58495,4,OWN,6000,MEDICAL,5.42,0.1,9,632,yes,0
29,male,Associate,37251,5,MORTGAGE,6500,MEDICAL,8.59,0.17,10,695,no,0
22,male,High School,54160,0,MORTGAGE,3500,PERSONAL,5.99,0.06,2,618,yes,0
22,female,Bachelor,33597,0,RENT,2925,DEBTCONSOLIDATION,10.71,0.09,3,694,no,0
24,female,Associate,44013,1,RENT,5300,EDUCATION,15.28,0.12,3,662,yes,0
30,male,Master,116123,3,MORTGAGE,18000,EDUCATION,13.49,0.16,7,681,yes,0
28,male,Associate,68117,6,RENT,20000,EDUCATION,18.49,0.29,7,669,no,1
28,male,Associate,56844,1,RENT,22500,EDUCATION,14.96,0.4,9,600,no,1
27,male,High School,75370,6,MORTGAGE,3275,HOMEIMPROVEMENT,9.33,0.04,8,601,yes,0
35,female,Bachelor,45511,12,RENT,2000,DEBTCONSOLIDATION,11.26,0.04,10,623,yes,0
26,male,Associate,78063,4,MORTGAGE,4500,MEDICAL,8.94,0.06,2,520,yes,0
21,female,High School,37986,0,RENT,6000,MEDICAL,6.03,0.16,3,562,yes,0
46,male,Bachelor,178543,25,RENT,24417,DEBTCONSOLIDATION,12.27,0.14,13,677,no,1
23,female,Bachelor,116179,3,RENT,10000,EDUCATION,10.65,0.09,3,675,yes,0
21,male,Master,52834,2,MORTGAGE,7000,PERSONAL,6.62,0.13,4,666,yes,0
49,male,High School,860787,25,MORTGAGE,12635,PERSONAL,9.83,0.01,26,620,no,0
26,female,High School,42053,4,RENT,5500,PERSONAL,16.89,0.13,3,513,yes,0
34,male,Associate,102791,10,MORTGAGE,6500,HOMEIMPROVEMENT,9.63,0.06,7,656,yes,0
22,male,Master,37954,0,RENT,10000,DEBTCONSOLIDATION,15.65,0.26,4,608,no,1
36,male,Associate,46881,12,OWN,10000,PERSONAL,6.17,0.21,13,658,yes,0
33,male,Associate,114542,10,MORTGAGE,12000,MEDICAL,7.29,0.1,6,541,yes,0
25,male,Associate,67888,2,MORTGAGE,10250,PERSONAL,14.65,0.15,4,631,no,0
23,male,Associate,73230,4,MORTGAGE,12000,PERSONAL,15.27,0.16,4,706,yes,0
22,male,High School,31142,0,RENT,4000,EDUCATION,11.01,0.13,3,554,yes,0
27,male,High School,61095,3,RENT,14000,VENTURE,6.54,0.23,8,538,yes,0
22,female,Bachelor,45443,0,RENT,5700,EDUCATION,5.42,0.13,4,598,yes,0
36,female,Bachelor,210062,11,RENT,20000,VENTURE,17.04,0.1,16,685,no,1
24,female,Bachelor,41604,3,MORTGAGE,10000,PERSONAL,15.31,0.24,2,641,no,1
46,male,Associate,98855,24,RENT,16000,EDUCATION,10.99,0.16,16,671,yes,0
24,male,Master,51098,2,RENT,8000,EDUCATION,11.01,0.16,4,621,no,0
27,female,Associate,75041,4,RENT,3000,HOMEIMPROVEMENT,9.7,0.04,9,670,yes,0
28,male,Bachelor,58573,0,OWN,8000,PERSONAL,16.77,0.14,9,587,yes,0
29,male,Master,46433,8,RENT,1500,PERSONAL,12.53,0.03,7,560,no,1
