person_age,person_gender,person_education,person_income,person_emp_exp,person_home_owner,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
25,female,Bachelor,75831,2,RENT,2000,HOMEIMPROVEMENT,13.07,0.03,3,615,no,0
33,male,Bachelor,120539,11,MORTGAGE,7000,VENTURE,11.01,0.06,6,633,no,0
25,male,High School,281967,6,MORTGAGE,20032,HOMEIMPROVEMENT,8.89,0.07,5,610,yes,0
25,male,Bachelor,53651,1,RENT,9000,MEDICAL,7.29,0.17,3,628,yes,0
25,male,Master,68064,1,RENT,8000,VENTURE,5.99,0.12,2,603,no,0
22,female,Associate,29616,3,RENT,1500,EDUCATION,18.79,0.05,3,635,no,1
23,female,Bachelor,66895,1,RENT,4000,MEDICAL,12.53,0.06,2,555,no,0
45,male,Bachelor,80390,24,MORTGAGE,9000,EDUCATION,14.59,0.11,15,731,yes,0
26,female,High School,76579,1,RENT,7997,VENTURE,12.5,0.1,3,644,yes,0
22,female,Associate,83878,1,MORTGAGE,10000,PERSONAL,7.51,0.12,3,566,yes,0
27,female,Master,51325,4,RENT,5000,MEDICAL,11.11,0.1,9,663,no,0
24,female,Master,49600,0,RENT,2800,VENTURE,6.99,0.06,4,603,yes,0
34,male,Associate,67824,12,RENT,10450,PERSONAL,7.51,0.15,10,562,no,0
23,female,Bachelor,40498,0,RENT,7000,DEBTCONSOLIDATION,13.61,0.17,4,633,yes,0
25,female,High School,76614,4,MORTGAGE,3898,HOMEIMPROVEMENT,12.36,0.05,4,626,no,1
26,male,Associate,77718,2,MORTGAGE,12000,EDUCATION,11.71,0.15,3,561,yes,0
27,female,High School,35580,3,RENT,3000,EDUCATION,7.88,0.08,7,555,no,1
70,male,Bachelor,36838,47,RENT,1000,DEBTCONSOLIDATION,17.49,0.03,21,643,no,1
24,female,Bachelor,85101,0,MORTGAGE,6000,VENTURE,7.88,0.07,3,652,no,0
35,female,Associate,178817,11,MORTGAGE,25000,DEBTCONSOLIDATION,14.62,0.14,10,608,no,1
23,female,High School,157652,0,MORTGAGE,30000,EDUCATION,8.63,0.19,4,667,no,0
27,male,Master,125764,6,MORTGAGE,10000,PERSONAL,10.65,0.08,9,723,no,0
29,male,High School,59802,6,RENT,6000,PERSONAL,13.99,0.1,6,660,no,1
24,male,Master,72906,0,RENT,7200,VENTURE,8.49,0.1,2,666,no,0
29,male,Bachelor,60991,7,MORTGAGE,16000,VENTURE,10.68,0.26,6,650,yes,0
22,male,High School,36784,0,RENT,9375,PERSONAL,11.71,0.25,2,541,no,1
31,female,Master,29041,9,RENT,5000,EDUCATION,11.14,0.17,8,634,no,0
21,female,High School,26946,0,OWN,7125,VENTURE,6.99,0.26,3,653,no,0
28,female,Master,29789,4,RENT,5000,DEBTCONSOLIDATION,12.02,0.17,5,579,yes,0
22,male,Associate,29673,3,RENT,5200,DEBTCONSOLIDATION,13.49,0.18,2,610,yes,0
24,female,High School,65618,3,RENT,7000,DEBTCONSOLIDATION,15.99,0.11,3,673,no,1
27,male,Associate,180806,3,MORTGAGE,14244,DEBTCONSOLIDATION,7.68,0.08,6,667,yes,0
28,female,High School,119301,6,MORTGAGE,20000,VENTURE,14.84,0.17,9,607,yes,0
23,male,Associate,80452,2,RENT,25000,MEDICAL,15.37,0.31,2,699,no,1
22,female,Associate,43113,0,RENT,5000,MEDICAL,11.42,0.12,3,667,no,0
33,female,High School,54005,10,RENT,2725,MEDICAL,12.18,0.05,6,575,no,1
25,female,Bachelor,104173,4,MORTGAGE,15000,PERSONAL,6.91,0.14,4,659,no,1
