person_age,person_gender,person_education,person_income,person_emp_exp,person_home_owner,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
32,female,High School,346907,10,MORTGAGE,25000,DEBTCONSOLIDATION,14.83,0.07,10,614,no,1
30,male,Associate,121659,6,MORTGAGE,10000,EDUCATION,16.77,0.08,10,643,no,0
29,male,Bachelor,54863,5,RENT,7500,EDUCATION,11.01,0.14,5,652,yes,0
47,male,Doctorate,49018,21,RENT,3600,EDUCATION,7.95,0.07,18,727,no,0
27,female,Master,43342,4,MORTGAGE,12000,VENTURE,7.83,0.28,7,691,no,0
26,female,Associate,25937,3,OWN,8000,VENTURE,13.79,0.31,2,663,yes,0
31,male,Master,113947,10,RENT,11000,HOMEIMPROVEMENT,7.49,0.1,9,654,no,0
30,female,Master,48514,9,MORTGAGE,6000,MEDICAL,7.75,0.12,5,591,yes,0
28,male,Bachelor,29810,2,MORTGAGE,6229,VENTURE,12.61,0.21,7,613,yes,0
35,female,High School,130952,14,RENT,7000,PERSONAL,11.01,0.05,7,529,yes,0
27,male,High School,65761,4,RENT,20000,MEDICAL,10.99,0.3,8,599,no,1
25,male,Bachelor,84914,3,RENT,19077,MEDICAL,8.73,0.22,6,697,yes,0
23,female,Bachelor,77863,0,RENT,7200,MEDICAL,15.96,0.09,3,602,yes,0
32,female,Associate,72939,10,RENT,6000,DEBTCONSOLIDATION,10.36,0.08,7,614,yes,0
23,female,High School,41847,2,RENT,3000,VENTURE,10,0.07,4,654,yes,0
24,female,Bachelor,46702,6,OWN,3000,EDUCATION,13.35,0.06,2,625,yes,0
23,male,Associate,34728,1,MORTGAGE,8400,VENTURE,10.99,0.24,2,661,no,0
24,female,Bachelor,34643,6,RENT,3000,MEDICAL,10.25,0.09,3,646,no,0
25,male,Associate,59730,4,OWN,3000,VENTURE,11.01,0.05,3,644,no,0
30,female,Bachelor,30784,7,RENT,12000,MEDICAL,10.92,0.39,8,607,no,1
28,male,High School,91113,6,MORTGAGE,16800,MEDICAL,6.03,0.18,8,665,yes,0
25,male,Bachelor,63273,0,RENT,7200,EDUCATION,12.69,0.11,3,576,yes,0
26,male,Associate,114040,4,MORTGAGE,5000,MEDICAL,7.68,0.04,3,636,yes,0
22,male,Bachelor,43080,0,MORTGAGE,4000,VENTURE,7.29,0.09,2,646,yes,0
30,female,Associate,49021,8,RENT,2500,VENTURE,5.79,0.05,10,614,yes,0
28,male,High School,108832,6,MORTGAGE,12000,EDUCATION,8.15,0.11,8,548,no,0
23,male,Master,53884,2,RENT,9500,EDUCATION,11.26,0.18,2,667,yes,0
24,female,High School,48826,0,MORTGAGE,6400,EDUCATION,9.91,0.13,4,639,no,0
37,female,High School,78923,14,MORTGAGE,11022,HOMEIMPROVEMENT,9.69,0.14,15,595,yes,0
