loan_uuid,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_owner,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
bb3a8d69-36dc-4b80-9a1c-dc8a648a5a74,26,male,High School,46470,3,MORTGAGE,8500,VENTURE,6.46,0.18,8,642,yes,0
bb3a93ad-4214-4b9b-9cc4-6e4741ab9359,28,female,High School,86775,7,MORTGAGE,9800,VENTURE,12.21,0.11,5,625,yes,0
bb3a9992-5469-44f7-9dee-ed58cb83fe18,22,male,Associate,37347,0,OWN,7200,MEDICAL,10.99,0.19,2,559,yes,0
bb3b227f-da4e-40ec-b760-479bfa2c2c77,30,male,Bachelor,60715,2,MORTGAGE,5000,MEDICAL,11,0.08,6,621,yes,0
bb3c0eb3-e50d-4a7c-9d6b-1946f90daf5a,25,male,Bachelor,120866,1,RENT,20000,HOMEIMPROVEMENT,13.06,0.17,2,563,yes,0
bb40ed5d-ee2c-4c17-ac0c-0176d649477c,24,female,Associate,70409,1,RENT,8000,VENTURE,10.62,0.11,2,620,yes,0
bb4194f8-19be-4ec1-bafa-e3f7317e7dea,22,female,High School,33478,0,RENT,2800,MEDICAL,7.51,0.08,3,600,no,1
bb42b07d-1149-4524-892c-a0a1be5da26b,28,male,Master,72697,7,MORTGAGE,15000,EDUCATION,11.99,0.21,5,618,yes,0
bb45fb0d-6628-4f03-8652-00cd36b15b44,30,male,Bachelor,45805,7,RENT,2600,EDUCATION,9.25,0.06,7,504,yes,0
bb46a31d-db07-40b4-8100-4a799e530384,23,male,Master,83985,1,RENT,1000,MEDICAL,7.29,0.01,3,698,no,0
bb46fd02-d1ba-47e4-b5dc-9b437b3227bb,34,female,Bachelor,55979,12,MORTGAGE,10000,VENTURE,6.62,0.18,6,637,yes,0
bb47c299-e5b8-4517-a609-ed3346b0132b,30,female,Bachelor,42637,8,RENT,2629,DEBTCONSOLIDATION,11.85,0.06,4,735,yes,0
bb4d5526-13aa-4090-92a1-a869c2584280,24,male,Bachelor,40727,0,OWN,12250,VENTURE,13.11,0.3,4,527,yes,0
bb4e273a-16f3-4803-9fd9-2dfacbfd7ac8,25,male,High School,19415,3,RENT,4750,PERSONAL,13.85,0.24,4,634,no,1
bb4e69c1-13b6-4636-95e4-89bac5d2bb93,25,female,Associate,94903,2,RENT,10000,VENTURE,5.79,0.11,3,543,no,0
bb502f2a-1cdc-48a7-8396-d59919c37ac1,27,male,Master,98473,7,OWN,9000,VENTURE,13.43,0.09,9,587,no,0
bb538c2e-1500-4025-b397-d57a3f2dba37,24,male,Master,29713,2,OWN,6000,MEDICAL,14.56,0.2,3,688,no,0
bb564d46-30fc-481d-a46b-5d4660a2a9c4,23,male,Associate,85055,3,RENT,12000,MEDICAL,12.42,0.14,4,543,yes,0
bb564ded-2a0e-4d50-9b14-fa378acb782e,34,male,Associate,77596,13,MORTGAGE,8000,HOMEIMPROVEMENT,6.91,0.1,6,690,yes,0
bb5656e7-8d6d-41d4-9786-81cba9f66e70,34,male,Master,54039,12,MORTGAGE,4000,MEDICAL,15.95,0.07,9,614,no,1
bb581254-65ab-4903-9bd8-e0c1f5dfa18e,23,male,Bachelor,35645,3,OWN,2000,VENTURE,13.16,0.06,3,542,no,0
bb59d092-a159-4e85-a079-1376ee289b32,28,male,High School,36703,5,RENT,14800,MEDICAL,11.14,0.4,7,631,no,1
bb5b9355-234a-4dde-906a-d747f4cd936a,29,male,Associate,66419,11,MORTGAGE,4275,PERSONAL,11.01,0.06,5,672,yes,0
bb5c304b-41b1-49aa-8001-dcaf60f52488,30,female,Master,51330,8,RENT,1850,VENTURE,11.99,0.04,5,700,yes,0
bb60cdf8-e40e-4230-bf17-7e3f5c4bfd69,25,male,Associate,94917,2,MORTGAGE,25000,MEDICAL,9.64,0.26,4,628,yes,0
bb62bf2b-02d9-4bbc-920a-41e857161dbd,38,male,Bachelor,63903,16,RENT,6532,HOMEIMPROVEMENT,14.14,0.1,16,754,no,1
bb637358-237e-41f5-9955-31429b65d03f,26,male,High School,78943,6,MORTGAGE,10950,HOMEIMPROVEMENT,7.88,0.14,2,647,no,0
bb6695e3-5895-4c7f-aaea-259b8d44667b,24,female,Associate,66881,3,RENT,8000,PERSONAL,16.9,0.12,4,549,no,1
bb66a4b0-adca-4a97-9911-94af6d753c51,38,male,Associate,12742,16,RENT,2200,EDUCATION,9.63,0.17,17,677,no,1
bb67b52e-f87b-4800-b0f4-dd0c0b955a42,31,male,Associate,90817,10,MORTGAGE,13800,DEBTCONSOLIDATION,11.01,0.15,9,584,yes,0
bb6a757b-6e77-4d8d-b660-12128c965c65,24,male,High School,91206,3,RENT,6000,VENTURE,8.03,0.07,3,662,no,0
bb6aa08a-eea0-4a58-aea9-105fb3233585,22,male,Associate,90951,1,MORTGAGE,6000,DEBTCONSOLIDATION,7.74,0.07,4,552,yes,0
bb6b70c0-7c9a-435d-9d5d-89dbca14b691,26,female,High School,116491,0,RENT,10000,EDUCATION,15.28,0.09,2,605,no,1
bb6b892b-8a49-4695-9421-32074ca7928a,32,female,High School,97066,8,RENT,6000,PERSONAL,11.01,0.06,6,599,no,0
bb6be013-35ce-4f6c-851e-5b162963a645,30,male,Bachelor,279481,8,MORTGAGE,25000,MEDICAL,17.93,0.09,9,689,no,1
bb6d04fb-9314-4006-af8b-adcecb29d0d0,23,male,Associate,27680,0,RENT,3200,MEDICAL,12.69,0.12,4,642,no,0
bb6f09c3-008d-47db-8908-561b26cd3ffb,24,male,Bachelor,89982,2,RENT,4500,PERSONAL,12.18,0.05,4,612,yes,0
bb701601-92d3-443c-b159-4c1d0f839eb6,39,female,Bachelor,54917,21,MORTGAGE,3000,PERSONAL,7.9,0.05,15,682,no,0
bb7043f5-c944-4de5-855b-d82fd7f419ad,24,male,High School,55019,1,RENT,12000,VENTURE,10.99,0.22,3,569,yes,0
bb71ff23-2293-4aa0-81a1-b8495d8adfaf,33,male,Bachelor,120617,13,MORTGAGE,6400,DEBTCONSOLIDATION,7.29,0.05,9,520,yes,0
bb723a2f-ec4e-42a7-891e-5d00e77dbb55,56,male,Bachelor,87228,35,OWN,7425,PERSONAL,9.99,0.09,22,628,yes,0
bb739b1b-ed46-4fad-a633-c41759d9a5fa,22,male,Bachelor,40329,0,RENT,1400,MEDICAL,14.27,0.03,4,682,yes,0
bb7523d9-568e-4a6d-8493-9cc14b10191d,26,male,Master,54047,3,OWN,5000,VENTURE,11.01,0.09,2,681,no,0
bb76b6e1-730e-4350-b4a2-97a554fde53e,32,male,Associate,58796,10,OWN,8000,EDUCATION,5.79,0.14,7,654,no,0
bb77f602-f2e6-4473-9f36-c6126d125c76,27,male,Bachelor,52470,2,MORTGAGE,3600,EDUCATION,14.68,0.07,4,700,no,0
bb7873b1-9144-423c-a6d9-cb7712d249cb,37,male,Associate,91062,12,MORTGAGE,6000,MEDICAL,6.03,0.07,11,690,yes,0
bb788fd1-90c1-40f8-83e4-9b1cf398d566,32,male,Bachelor,55110,11,MORTGAGE,6400,MEDICAL,7.49,0.12,9,636,no,0
bb7a8036-24f8-487e-a8b9-d8ed345328fc,30,male,High School,54840,6,MORTGAGE,7500,HOMEIMPROVEMENT,7.9,0.14,5,566,yes,0
bb7aa878-76df-4938-a740-8fa035e99aab,24,male,Master,48957,0,RENT,7500,PERSONAL,5.97,0.15,4,626,yes,0
bb7b356a-b063-4041-84ee-6f3e1aae1a84,32,female,Associate,57474,10,MORTGAGE,11325,HOMEIMPROVEMENT,7.51,0.2,10,635,yes,0
bb7b6cce-60fb-4062-a34b-adaed1c1b490,22,male,Bachelor,61123,1,RENT,15000,PERSONAL,8.2,0.25,3,652,yes,0
bb7bbab2-878f-42a9-bec6-5281e7feba14,26,male,Bachelor,29766,3,RENT,4500,VENTURE,5.79,0.15,3,593,no,0
bb80558d-c650-4c15-9239-bbbea52dea9c,28,male,High School,109458,9,MORTGAGE,25000,VENTURE,11.86,0.23,6,655,no,0
bb809a9c-61af-491a-874a-235bffaebe7b,43,male,Doctorate,82584,20,MORTGAGE,11200,EDUCATION,11.12,0.14,16,654,yes,0
bb80d844-5161-4dcc-9397-33158d1cbb8e,39,male,Associate,83385,16,RENT,12000,MEDICAL,9.33,0.14,16,623,yes,0
bb812dae-462a-436f-a1bc-8b77b807b8d1,21,female,Master,65983,0,RENT,5125,DEBTCONSOLIDATION,5.99,0.08,4,582,no,1
bb81567c-8186-4e8a-973d-f5958ead81f2,37,female,High School,71667,15,MORTGAGE,9000,HOMEIMPROVEMENT,10.25,0.13,13,678,yes,0
bb823a80-3330-4955-a1a2-541ec7929bf9,23,female,High School,106467,1,MORTGAGE,10000,EDUCATION,7.51,0.09,2,645,yes,0
bb837baf-926f-4c77-a7f9-e0f9cbb2d1a4,26,male,High School,73664,3,RENT,2560,MEDICAL,6.94,0.03,4,601,yes,0
bb889ca8-e948-43a3-a484-6e1049a74bc3,27,male,Associate,71689,3,OWN,24250,MEDICAL,11.49,0.34,9,567,yes,0
bb8bfe62-85fa-4f2a-8b5e-c0d11179608b,42,male,Associate,56041,20,MORTGAGE,9600,DEBTCONSOLIDATION,7.51,0.17,17,626,yes,0
bb9241e0-a496-4ce0-b6be-acfe0ac9aa76,23,female,Master,94780,0,RENT,25000,VENTURE,10.62,0.26,3,667,no,1
bb945d0e-67c9-4aeb-be8f-c6eeb53e900d,22,male,Master,30887,0,RENT,7000,DEBTCONSOLIDATION,12.26,0.23,3,693,yes,0
bb952492-e903-4dc2-b066-33f80019713a,24,male,Associate,39637,3,RENT,8000,DEBTCONSOLIDATION,12.34,0.2,4,685,no,1
bb952cc7-e53e-46b2-8c43-0208e5d6d5f9,29,female,Master,90897,8,RENT,5200,HOMEIMPROVEMENT,10.75,0.06,8,687,yes,0
bb953038-2480-4bb1-8ab1-6d4d9ce82111,30,male,Associate,108761,6,RENT,3600,EDUCATION,14.91,0.03,6,618,yes,0
bb95d1fa-831a-41e1-8865-c7e848854c24,30,female,Associate,58677,6,RENT,2000,DEBTCONSOLIDATION,10.75,0.03,5,635,no,0
bb982ee5-114e-4c75-bd00-785b91ba05b5,32,female,Bachelor,39402,12,RENT,5000,DEBTCONSOLIDATION,18.25,0.13,7,654,no,1
bb993468-90b7-4a9a-8d6b-b9f8551e948b,27,male,High School,111885,4,MORTGAGE,17500,HOMEIMPROVEMENT,11.01,0.16,8,545,yes,0
bb9bca28-a23d-4ea2-9ef2-c7007d7d3031,30,male,Master,120900,8,RENT,1000,PERSONAL,10.23,0.01,7,596,no,0
bb9cf60a-3996-4a1a-9053-bddc6444716d,29,male,Associate,36514,5,RENT,6600,MEDICAL,15.33,0.18,8,694,no,1
bb9ea5f2-c050-45b1-b5cf-8d6f5556170b,30,male,Master,97550,10,RENT,10000,VENTURE,7.99,0.1,6,515,yes,0
bba25a4f-b221-40ac-87b3-d4e852fa5eb6,35,female,Master,101867,13,RENT,7000,EDUCATION,7.29,0.07,8,698,yes,0
bba3a2f5-9069-4830-b22d-076486e1b621,28,male,High School,39161,5,RENT,7750,MEDICAL,14.22,0.2,5,612,no,0
bba41e4a-9082-4324-bb99-5a502aefdd08,24,female,Bachelor,48545,1,RENT,10000,MEDICAL,11.01,0.21,2,617,yes,0
bba46296-46f9-415d-959c-22f5707b444c,23,male,Associate,193046,2,MORTGAGE,35000,VENTURE,7.66,0.18,3,617,yes,0
bba4c21f-0a2e-4d18-9b57-ca1e0f63c057,27,male,Bachelor,47542,3,RENT,11000,PERSONAL,11.01,0.23,7,653,yes,0
bba52cc6-f1a5-4ad9-8417-cbbd88b74cd5,26,female,Associate,46104,4,RENT,10000,VENTURE,13.15,0.22,3,575,yes,0
bba62b88-5518-4d3e-a455-0f69433eb197,43,female,Associate,84085,25,RENT,2000,DEBTCONSOLIDATION,8.9,0.02,17,676,yes,0
bba760d6-3fce-4bab-96de-482ca6da5008,66,female,High School,52410,45,RENT,22250,DEBTCONSOLIDATION,14.59,0.42,23,672,no,1
bbaa4fc7-a787-4dc1-9e34-06b3887821eb,26,female,Bachelor,37393,4,RENT,5000,DEBTCONSOLIDATION,14.42,0.13,4,597,no,1
bbaaa698-32c6-43a1-ba35-cac4933604f4,26,male,Associate,62135,3,RENT,16269,MEDICAL,15.17,0.26,8,623,no,1
bbac8ecd-c5b9-4a96-b95d-aa7da83f65bf,31,male,Bachelor,143149,7,RENT,24250,HOMEIMPROVEMENT,12.53,0.17,5,538,yes,0
bbae8d87-a465-499f-8dd7-a8fbd439c722,26,male,High School,111442,2,MORTGAGE,10000,VENTURE,11.01,0.09,3,605,yes,0
bbaf909b-f9ed-4a08-9349-cecde14f38bb,23,male,High School,29589,2,MORTGAGE,2800,DEBTCONSOLIDATION,16.07,0.09,3,613,no,1
bbb1aca6-694d-4fbc-bd9a-3c57f04e50fe,32,female,Doctorate,70257,9,OWN,8000,VENTURE,13.85,0.11,10,646,yes,0
bbb392cc-6a68-4097-ada7-6c3898942895,36,female,Associate,54054,14,RENT,2000,DEBTCONSOLIDATION,13.61,0.04,13,662,no,1
bbb47c1c-843e-4be9-a109-d3d6d6c92d43,25,female,High School,49473,0,RENT,10000,EDUCATION,12.18,0.2,3,559,no,0
bbb597d7-55fb-4a6b-a6c2-0ef6d6ddf0a6,27,female,Master,58571,4,OWN,4500,EDUCATION,13.8,0.08,8,707,yes,0
bbb6c298-1aa1-4c24-82b2-83e0246405dc,25,male,High School,66100,2,MORTGAGE,5500,EDUCATION,10.59,0.08,4,624,yes,0
bbba3f91-ce52-4986-8ff7-0bf97ca33702,22,male,Bachelor,37187,2,RENT,6400,DEBTCONSOLIDATION,16,0.17,3,596,no,1
bbbb187a-b238-4236-8b2d-e7995effaa55,45,female,Doctorate,63889,23,MORTGAGE,10400,MEDICAL,19.47,0.16,12,666,no,1
bbbd685b-df9b-4719-95d8-25dc0001d2a0,29,female,High School,32266,8,OWN,4500,VENTURE,11.71,0.14,5,657,yes,0
bbbd8d67-3a65-46ad-b9d9-87c9a7ea3067,26,male,Associate,70820,2,MORTGAGE,6000,VENTURE,10.25,0.08,2,649,no,0
bbbf3f34-a33b-4313-92cf-490d9c5a97a4,26,male,Doctorate,56282,3,RENT,9000,PERSONAL,7.14,0.16,3,681,yes,0
bbbf8756-7c76-425d-9ffd-dd84669a91bf,22,male,Associate,73100,2,MORTGAGE,3000,VENTURE,6.76,0.04,4,586,yes,0
bbbfda18-d53f-46f8-a9bd-c9ed3c1ead23,25,female,High School,41403,0,RENT,10000,PERSONAL,6.62,0.24,4,631,no,1
bbc007f7-9e5d-4002-b2d0-753fd112226e,29,female,High School,265854,4,MORTGAGE,8423,DEBTCONSOLIDATION,11.52,0.03,4,662,no,0
bbc078a4-a4b0-4fa7-8446-b1789e54c6dc,30,female,Bachelor,56112,8,MORTGAGE,6000,PERSONAL,7.23,0.11,6,565,yes,0
bbc18c66-c981-4247-a366-176aaad434fb,23,female,Bachelor,97332,0,RENT,6978,EDUCATION,8.01,0.07,3,708,no,0
bbc6531d-d79c-4912-a6b5-2af2f003205b,22,male,High School,77534,2,MORTGAGE,2000,MEDICAL,9.32,0.03,4,514,yes,0
bbc79e5a-444e-4bf9-bd24-f1b7e52f982e,36,female,Bachelor,108813,15,MORTGAGE,4635,EDUCATION,10.85,0.04,10,648,yes,0
bbc80ebc-534a-4563-bf79-3827f7adc4d2,27,male,Bachelor,78811,7,RENT,8400,EDUCATION,6.99,0.11,5,683,yes,0
bbc83b01-474b-443a-ae51-6975995f4636,40,male,Associate,43018,15,RENT,2500,DEBTCONSOLIDATION,9.47,0.06,9,589,yes,0
bbc891cd-f9f3-41a1-93c8-b6deec28a247,23,male,Associate,33472,0,MORTGAGE,1000,HOMEIMPROVEMENT,15.99,0.03,3,638,no,1
bbcc38a9-078d-45a4-ba40-1c5a8ce17045,25,male,Associate,67184,3,RENT,8500,MEDICAL,14.22,0.13,2,522,yes,0
bbcedb51-8bcf-4d9d-9394-ddd35ddda41a,32,male,Master,29970,10,RENT,4777,EDUCATION,9.11,0.16,11,738,no,0
bbd0ce6c-20ab-4958-b43c-722bb1d2ce3a,23,male,High School,61262,0,RENT,3000,EDUCATION,11.01,0.05,2,569,yes,0
bbd0d43e-0d3a-4655-83f1-abdedb2ae010,23,male,Master,75164,0,MORTGAGE,13000,HOMEIMPROVEMENT,12.25,0.17,4,695,yes,0
bbd28dd4-c978-4916-b02c-2d87593855cc,29,male,Master,43038,1,RENT,5000,HOMEIMPROVEMENT,10.9,0.12,9,550,yes,0
bbd2a74b-3123-47e0-b5d5-2f56bbba1ea3,25,female,High School,217135,4,MORTGAGE,6000,HOMEIMPROVEMENT,12.42,0.03,4,510,no,0
bbd32f20-ca50-4ddf-b2ed-e3bfafdfa219,23,female,High School,203531,0,MORTGAGE,14073,VENTURE,11.05,0.07,4,544,yes,0
bbd4cd5a-0561-4d77-96a2-45028a866950,23,male,Associate,36618,0,RENT,10000,PERSONAL,11.48,0.27,4,597,no,1
bbd57e1e-078e-4d68-882a-cb2a38ea7fac,36,male,Associate,170898,16,MORTGAGE,6000,HOMEIMPROVEMENT,11.49,0.04,16,665,no,0
